PLAYER,VALUE
Kevin Garnett,29.26
Shaquille O'Neal,26.55
Tim Duncan,25.97
LeBron James,25.03
Chris Paul,24.87
Dwyane Wade,24.65
Chris Webber,24.5
Dirk Nowitzki,24.06
Dwight Howard,23.67
Amar'e Stoudemire,23.38
Karl Malone,23.33
Elton Brand,23.25
Carlos Boozer,22.6
Chris Bosh,22.59
Kobe Bryant,22.48
David Lee,22.27
Pau Gasol,21.96
Shawn Marion,21.45
Marcus Camby,21.1
Yao Ming,20.72
Tracy McGrady,20.51
Allen Iverson,20.34
Jermaine O'Neal,20.02
Kevin Durant,19.97
Brook Lopez,19.5
Carmelo Anthony,19.07
LaMarcus Aldridge,18.97
Steve Nash,18.89
Al Horford,18.8
Brandon Roy,18.8
Terrell Brandon,18.7
Ben Wallace,18.56
Jason Kidd,18.56
Anthony Mason,18.55
Paul Pierce,18.53
David Robinson,18.5
Lamar Odom,18.27
Sam Cassell,18.24
Zach Randolph,18.22
Michael Jordan,18.2
Tyreke Evans,18.1
Gilbert Arenas,18.0
Gerald Wallace,17.97
Emeka Okafor,17.9
David West,17.86
Andris Biedrins,17.8
Shareef Abdur-Rahim,17.75
Zydrunas Ilgauskas,17.68
Brad Miller,17.61
Vince Carter,17.59
Antawn Jamison,17.57
Steve Francis,17.52
Jamal Mashburn,17.5
Luol Deng,17.43
Josh Smith,17.4
Al Jefferson,17.37
Andre Miller,17.34
Corey Maggette,17.22
Derrick Rose,17.2
John Stockton,17.03
Monta Ellis,17.03
Carl Landry,16.9
Danny Fortson,16.9
Glenn Robinson,16.9
Andrew Bogut,16.8
Deron Williams,16.78
Nene,16.73
Stephon Marbury,16.72
Andre Iguodala,16.5
Gary Payton,16.37
Stephen Curry,16.3
Luis Scola,16.1
Elden Campbell,16.0
Kenyon Martin,16.0
Vlade Divac,15.95
Marc Gasol,15.9
Josh Howard,15.63
Baron Davis,15.54
Troy Murphy,15.43
Rajon Rondo,15.4
Charles Oakley,15.3
Clar. Weatherspoon,15.3
Russell Westbrook,15.25
Jerry Stackhouse,15.2
Peja Stojakovic,15.15
Kevin Love,15.1
Michael Redd,15.07
Brian Grant,15.02
Ray Allen,15.02
Samuel Dalembert,14.95
Tyson Chandler,14.93
Andrei Kirilenko,14.92
